1.73198,0.621162,-0.171761
1.73049,0.61348,-0.171389
1.72887,0.606118,-0.171017
1.74059,0.596616,-0.171761
1.74266,0.590536,-0.171761
1.75206,0.587592,-0.172504
1.75798,0.582418,-0.172876
1.75506,0.581449,-0.107673
1.76,0.576279,-0.172876
1.75708,0.57532,-0.107673
1.75822,0.568905,-0.172504
1.76287,0.570412,-0.107906
1.76768,0.565499,-0.173248
1.77617,0.568213,-0.108604
1.76974,0.559017,-0.173248
1.78204,0.562903,-0.108836
1.77919,0.555518,-0.173991
1.78009,0.5558,-0.108604
1.77731,0.54813,-0.17362
1.78202,0.549582,-0.108604
1.78312,0.542773,-0.173991
1.72624,0.619103,-0.149711
1.79166,0.545373,-0.109069
1.78119,0.535398,-0.17362
1.79738,0.540265,-0.109301
1.79832,0.533711,-0.175107
1.73052,0.607037,-0.149711
1.79925,0.533989,-0.109301
1.80008,0.527744,-0.175107
1.80868,0.530266,-0.109766
1.80191,0.521457,-0.175107
1.80285,0.521728,-0.109301
1.81528,0.518468,-0.0219784
1.80372,0.515164,-0.175107
1.748,0.593027,-0.150687
1.81234,0.517626,-0.109766
1.81323,0.511042,-0.0219318
1.74936,0.586684,-0.234859
1.80934,0.509945,-0.175478
1.74628,0.585654,-0.150362
1.81797,0.512379,-0.109999
1.81886,0.505783,-0.0219784
1.81111,0.503627,-0.175478
1.74832,0.579556,-0.150362
1.8236,0.507101,-0.110232
1.81667,0.498689,-0.0219318
1.74954,0.573528,-0.234354
1.81661,0.498673,-0.17585
1.75781,0.576238,-0.151012
1.82527,0.501051,-0.110232
1.82621,0.494116,-0.0220249
1.7705,0.573222,-0.236879
1.82611,0.494091,-0.176594
1.75991,0.569791,-0.151012
1.8271,0.494357,-0.110232
1.83556,0.490121,-0.0221181
1.77239,0.567347,-0.236879
1.82389,0.487005,-0.176222
1.82397,0.487025,0.0219784
1.76938,0.566382,-0.151663
1.83258,0.489325,-0.110464
1.83726,0.483712,-0.0221181
1.77815,0.562355,-0.237384
1.82943,0.48165,-0.176594
1.77135,0.560204,-0.151663
1.83814,0.483943,-0.110697
1.8429,0.477978,-0.0221646
1.78398,0.557016,-0.237889
1.82733,0.473942,-0.176222
1.77719,0.554896,-0.151989
1.84377,0.478205,-0.110929
1.77685,0.554788,-0.0975542
1.84455,0.471543,-0.0221646
1.78592,0.550786,-0.237889
1.83669,0.469533,-0.176966
1.77531,0.547514,-0.151663
1.84543,0.471766,-0.110929
1.77877,0.548583,-0.0975542
1.85386,0.467378,-0.0222578
1.79153,0.546017,-0.238394
1.8421,0.464413,-0.177337
1.84223,0.464445,0.0221181
1.78474,0.543948,-0.152314
1.85472,0.467596,-0.111394
1.85936,0.461868,-0.0223043
1.84371,0.45798,-0.177337
1.74098,0.618224,-0.129189
1.79045,0.538863,-0.15264
1.85247,0.460155,-0.111162
1.78247,0.536461,-0.0975542
1.85708,0.454425,-0.0222578
1.72983,0.607473,-0.197487
1.84917,0.452488,-0.177709
